acme|quoteGroup|1|1|1|Price|%{runDateTime}|315.25
acme|quoteGroup|1|1|1|P/C|%{documentFromDate}|-
acme|quoteGroup|1|1|1|FACE VALUE|%{documentFromDate}|1.00
acme|quoteGroup|1|1|1|BOOK VALUE|%{documentFromDate}|27.89
acme|quoteGroup|1|1|1|DIV (%)|%{documentFromDate}|850.00%
acme|quoteGroup|1|1|1|PRICE/BOOK|%{documentFromDate}|11.29
acme|quoteGroup|1|1|1|P/E|%{documentFromDate}|-
acme|quoteGroup|1|1|1|INDUSTRY P/E|%{documentFromDate}|37.06
acme|quoteGroup|1|1|1|MARKET CAP|%{documentFromDate}|382,642.57
acme|quoteGroup|1|1|1|EPS (TTM)|%{documentFromDate}|-
acme|quoteGroup|1|1|1|DIV YIELD|%{documentFromDate}|2.70%
acme|plGroup|1|1|1|Sales Turnover|2016-12-31|51,944.57
acme|plGroup|1|1|1|Sales Turnover|2015-12-31|50,389.01
acme|plGroup|1|1|1|Sales Turnover|2014-12-31|47,068.66
acme|plGroup|1|1|1|Sales Turnover|2013-12-31|42,105.51
acme|plGroup|1|1|1|Sales Turnover|2012-12-31|35,247.25
acme|plGroup|1|1|1|Excise Duty|2016-12-31|15,107.18
acme|plGroup|1|1|1|Excise Duty|2015-12-31|13,881.61
acme|plGroup|1|1|1|Excise Duty|2014-12-31|13,830.06
acme|plGroup|1|1|1|Excise Duty|2013-12-31|12,204.24
acme|plGroup|1|1|1|Excise Duty|2012-12-31|10,073.43
acme|plGroup|1|1|1|Net Sales|2016-12-31|36,837.39
acme|plGroup|1|1|1|Net Sales|2015-12-31|36,507.40
acme|plGroup|1|1|1|Net Sales|2014-12-31|33,238.60
acme|plGroup|1|1|1|Net Sales|2013-12-31|29,901.27
acme|plGroup|1|1|1|Net Sales|2012-12-31|25,173.82
acme|plGroup|1|1|1|Other Income|2016-12-31|1,803.74
acme|plGroup|1|1|1|Other Income|2015-12-31|1,543.13
acme|plGroup|1|1|1|Other Income|2014-12-31|1,107.14
acme|plGroup|1|1|1|Other Income|2013-12-31|938.70
acme|plGroup|1|1|1|Other Income|2012-12-31|825.34
acme|plGroup|1|1|1|Stock Adjustments|2016-12-31|-58.17
acme|plGroup|1|1|1|Stock Adjustments|2015-12-31|214.53
acme|plGroup|1|1|1|Stock Adjustments|2014-12-31|128.41
acme|plGroup|1|1|1|Stock Adjustments|2013-12-31|246.35
