acme|quoteGroup|%{runDateTime}|Price|315.25
acme|quoteGroup|%{documentFromDate}|P/C|-
acme|quoteGroup|%{documentFromDate}|FACE VALUE (Rs)|1.00
acme|quoteGroup|%{documentFromDate}|BOOK VALUE (Rs)|27.89
acme|quoteGroup|%{documentFromDate}|DIV (%)|850.00%
acme|quoteGroup|%{documentFromDate}|PRICE/BOOK|11.29
acme|quoteGroup|%{documentFromDate}|P/E|-
acme|quoteGroup|%{documentFromDate}|INDUSTRY P/E|37.06
acme|quoteGroup|%{documentFromDate}|MARKET CAP (Rs Cr)|382,642.57
acme|quoteGroup|%{documentFromDate}|EPS (TTM)|-
acme|quoteGroup|%{documentFromDate}|DIV YIELD.(%)|2.70%
acme|plGroup|2016-12-31|Sales Turnover|51,944.57
acme|plGroup|2015-12-31|Sales Turnover|50,389.01
acme|plGroup|2014-12-31|Sales Turnover|47,068.66
acme|plGroup|2013-12-31|Sales Turnover|42,105.51
acme|plGroup|2012-12-31|Sales Turnover|35,247.25
acme|plGroup|2016-12-31|Excise Duty|15,107.18
acme|plGroup|2015-12-31|Excise Duty|13,881.61
acme|plGroup|2014-12-31|Excise Duty|13,830.06
acme|plGroup|2013-12-31|Excise Duty|12,204.24
acme|plGroup|2012-12-31|Excise Duty|10,073.43
acme|plGroup|2016-12-31|Net Sales|36,837.39
acme|plGroup|2015-12-31|Net Sales|36,507.40
acme|plGroup|2014-12-31|Net Sales|33,238.60
acme|plGroup|2013-12-31|Net Sales|29,901.27
acme|plGroup|2012-12-31|Net Sales|25,173.82
acme|plGroup|2016-12-31|Other Income|1,803.74
acme|plGroup|2015-12-31|Other Income|1,543.13
acme|plGroup|2014-12-31|Other Income|1,107.14
acme|plGroup|2013-12-31|Other Income|938.70
acme|plGroup|2012-12-31|Other Income|825.34
acme|plGroup|2016-12-31|Stock Adjustments|-58.17
acme|plGroup|2015-12-31|Stock Adjustments|214.53
acme|plGroup|2014-12-31|Stock Adjustments|128.41
acme|plGroup|2013-12-31|Stock Adjustments|246.35
acme|plGroup|2012-12-31|Stock Adjustments|65.59
acme|plGroup|2016-12-31|Total Income|38,582.96
acme|plGroup|2015-12-31|Total Income|38,265.06
acme|plGroup|2014-12-31|Total Income|34,474.15
acme|plGroup|2013-12-31|Total Income|31,086.32
acme|plGroup|2012-12-31|Total Income|26,064.75
acme|plGroup|2016-12-31|Raw Materials|13,893.28
acme|plGroup|2015-12-31|Raw Materials|15,117.82
acme|plGroup|2014-12-31|Raw Materials|13,522.04
acme|plGroup|2013-12-31|Raw Materials|12,531.44
acme|plGroup|2012-12-31|Raw Materials|9,933.19
acme|plGroup|2016-12-31|Power & Fuel Cost|541.57
acme|plGroup|2015-12-31|Power & Fuel Cost|581.65
acme|plGroup|2014-12-31|Power & Fuel Cost|613.19
acme|plGroup|2013-12-31|Power & Fuel Cost|550.11
acme|plGroup|2012-12-31|Power & Fuel Cost|453.19
